country,year,region,prevalence_smoking,liters_of_pure_alcohol_per_capita,pig,poultry,sheep_and_goat,fish_and_seafood,beef,life_ladder,negative_affect,social_support,freedom_to_make_life_choices,positive_affect,generosity,perceptions_of_corruption,expected_obesity_rate
Turkey,2005,Europe,32.2,2.12,0.0,13.20257,4.5849104,7.404877,4.683511,4.718733787536621,"",0.8199363946914673,0.6231149435043335,0.47867971658706665,0.8769986033439636,0.18820775849434043,0
Turkey,2006,Europe,32.2,2.12,0.0,12.847409,4.52568,8.410468,4.8904953,4.718733787536621,"",0.8199363946914673,0.6231149435043335,0.47867971658706665,0.8769986033439636,0.18820775849434043,0
Germany,2006,Europe,32.1,13.28,55.11639,14.369667,0.9284063,15.298074,12.554117,6.619549751281738,0.1972624808549881,0.96349036693573,0.8466237783432007,0.6847646236419678,0.7810068130493164,-0.025968343413324067,1
Germany,2005,Europe,32.1,13.28,54.929127,14.875564,1.0013392,14.524578,12.480608,6.619549751281738,0.1972624808549881,0.96349036693573,0.8466237783432007,0.6847646236419678,0.7810068130493164,-0.025968343413324067,1
Jordan,2005,Eastern Mediterranean,31.7,0.66,0.018451922,25.638948,4.871308,4.6222067,6.218298,6.2946600914001465,0.23955956101417542,0.9200129508972168,"",0.6298332214355469,0.6697267293930054,0.002653699106420811,0
Jordan,2006,Eastern Mediterranean,31.7,0.66,0.008935817,21.919558,4.0747323,5.263196,8.551576,6.2946600914001465,0.23955956101417542,0.9200129508972168,"",0.6298332214355469,0.6697267293930054,0.04813532535444154,0
Rwanda,2007,Africa,21.3,13.0,0.63593066,0.23977713,0.74018157,1.6575897,3.2734792,4.214703559875488,0.1889963299036026,0.7175833582878113,0.9154808521270752,0.7007267475128174,0.2986435294151306,0.15918536211941245,0
Rwanda,2006,Africa,21.3,13.0,0.677411,0.20843418,0.7190979,1.1776531,3.0848258,4.214703559875488,0.1889963299036026,0.7175833582878113,0.9154808521270752,0.7007267475128174,0.2986435294151306,0.15918536211941245,0
France,2005,Europe,34.1,13.09,34.931503,21.101065,3.4017596,34.799496,26.929752,7.093392848968506,0.22509419918060303,0.9403382539749146,0.8948192596435547,0.6812777519226074,0.687850832939148,0.13718513500304672,1
Greece,2006,Europe,48.5,10.73,31.827106,14.181872,14.599864,22.014248,19.307251,6.006309986114502,0.2636430263519287,0.8365394473075867,0.7341718077659607,0.5976865291595459,0.8605630993843079,-0.020604741953314448,0
Greece,2005,Europe,48.5,10.73,28.89304,18.073055,14.347162,21.04383,17.645819,6.006309986114502,0.2636430263519287,0.8365394473075867,0.7341718077659607,0.5976865291595459,0.8605630993843079,-0.03770506994472671,0
Belgium,2005,Europe,30.5,13.13,34.570457,24.978657,1.6585827,24.519049,18.704018,7.2622904777526855,0.26037994027137756,0.9348747134208679,0.9238430261611938,0.6768856644630432,0.5975544452667236,0.1740153574882316,1
Belgium,2006,Europe,30.5,13.13,32.05523,22.780823,1.4706987,24.021412,20.669819,7.2622904777526855,0.26037994027137756,0.9348747134208679,0.9238430261611938,0.6768856644630432,0.5975544452667236,0.19668825566211756,1
India,2006,South-East Asia,45.5,2.33,0.34131703,1.3262606,0.65337837,5.1002517,1.609066,5.348258972167969,0.1986016184091568,0.7073180675506592,0.7737370729446411,0.5760959982872009,0.8548117280006409,0.030443784923561167,0
United States,2006,Americas,30.6,9.49,28.964525,53.180275,0.5220642,24.286026,42.568314,7.181793689727783,0.26051095128059387,0.9645717740058899,0.911496102809906,0.7748327255249023,0.6003086566925049,0.21944698084046999,0
Italy,2006,Europe,25.3,9.41,40.767223,13.609297,1.496416,26.601826,24.54931,6.85378360748291,0.29469814896583557,0.9280006885528564,0.8021949529647827,0.6061020493507385,0.9439123272895813,0.023434570988869398,1
Italy,2005,Europe,25.3,9.41,39.003857,15.535007,1.4617627,25.404427,23.801527,6.85378360748291,0.29469814896583557,0.9280006885528564,0.8021949529647827,0.6061020493507385,0.9439123272895813,0.023434570988869398,1
Spain,2005,Europe,34.3,12.83,56.372326,27.898146,5.353186,41.117237,15.493452,7.152785778045654,0.24064257740974426,0.9610428810119629,0.9161646962165833,0.6943226456642151,0.7772722840309143,0.158937823631548,1
Spain,2006,Europe,34.3,12.83,57.101025,26.964375,4.8674655,44.8481,15.147633,7.152785778045654,0.24064257740974426,0.9610428810119629,0.9161646962165833,0.6943226456642151,0.7772722840309143,0.1491811920624046,0
Denmark,2005,Europe,30.8,12.29,43.891636,19.603735,0.9866649,24.397532,26.879143,8.01893424987793,0.15367195010185242,0.972371518611908,0.9711350202560425,0.7766891121864319,0.23652170598506927,0.17915487803154898,1
Denmark,2006,Europe,30.8,12.29,31.960947,19.01108,1.0068794,22.988752,25.999422,8.01893424987793,0.15367195010185242,0.972371518611908,0.9711350202560425,0.7766891121864319,0.23652170598506927,0.18110473792429538,1
